@relation csv-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last

@attribute s_str {proved,in,splitted,of,best,have,are,inconsistency,clasifier,affxes,shown,diffculties,spe-cial,effcient,on,cope,largescale,for,which,grouping,match,select,demonstrate,important,it,Since,is,to,detected,since,video,ones,While,sifted,towards,under,works,way,three-fold,employ,improvement,the,',',occurrence,remaining,details,employed,histograms,represents,cluster,includes,expensive,etl,modelled,than,use,create,uses,a,was,individual,one,evaluating,reasons,offline,videos,appearance,results,state-ofthe-art,propose,demonstrated,performances,with,liminations,Firstly,pair-wise,Secondly,make,appear,together,character,occurences,loss,overlighting,contain,indetify,measures,indicates,consicutive,faces,an,inside,case,prevent,that,through,process,limits,motivate,archiving,its,require,called,sub-sampled,N,outliers,these,our,shows,by,problem,at,re-group,Thus,However,fully,reported,property,face,this,trade-o_,overly,prepare,extract,automatic,millions,ten,less,number,transform,compare,non-parametric,better,separatable,selecting,from,query,as,following,76.54,gap,those,during,also,biological,theirs,afterwards,costs,separated,second,suggest,and,take,'\%',perform,contributions,3-fold,presented,bypass,Thirdly,retreival,faciliate,database,introduces,matched,introduce,intial,opmization,promissing,needs,because,expected,higher,supports,but,over,other,contains,sufficient,aim,firstly,simultanously,their,set,doubled,construct,compute,4,oversegmenting,region,Finding,Grouping,Formulating,processs,spaces,So,repsented,histgoram,constrainted,denotes,paring,continue,nodes,orginal,satisfy,hierarcy,hierchical,hitogram,hierarchical,exists,recommendations,hit,.,good,recommendation,system,should,accurately,provide,such,users,all,introduced,some,evaluate,introducing,annotation,existed,determined,precisely,used,apply,performance,procedure,evaluation,Different-of-Gaussian(,DoG,),interest,points,image,any,helps,portion,channel,created,do,build,highly,overlap,applied,averaged,numbers,well,we,successfully,takes,We,observed,consists,much,influence,obtain,hight,improves,It,brings,81,'.97\\',;,meanwhile,average,rank,first,drops,2,.27,1,.78,worth,noting,keeping,inreasing,'\\MATH',may,not,always,give,precision,relies,only,robustness,comparision,techniques,Recommend-Me,cannot,around,'20\\',initial,images,due,fact,technique,deal,significant,variations,items,Figure,5(,b,another,circumstance,when,increase,decline,efficiency,This,branch-and-bound,algorithm,has,visit,more,parts,total,search,space,order,find,extra,local,evaluations,still,performs,3,times,faster,exhaustive,practical,applications,Its,superiority,'\\REF',presents,examples,returned,named,visual,suggestion,In,paper,new,Given,retrieved,imposes,how,frequent,Such,support,rapidly,refine,or,explore,An,efficient,solution,To,knowledge,attempt,targeted,scheme,toward}
@attribute t_str {proven,for,the,The,split,best-performing,achieved,performed,inconsistencies,classifier,affixes,provided,difficulties,special,efficient,in,deal,to,large-scale,of,that,group,matching,selects,a,show,relevant,this,from,Because,are,found,because,videos,appearances,Whereas,shifted,toward,with,approaches,ways,threefold,use,improvement,and,occurrences,remainder,detail,used,histogram,represented,clustered,include,high,et,modeled,was,then,created,is,individuals,each,evaluate,considerations,off-line,video,result,state-of-the-art,proposed,shown,performance,restrictions,First,pairwise,Second,causes,occur,simultaneously,characters,lost,over-lighting,on,containing,identify,measure,indicating,consecutive,face,within,cases,into,prevents,so,over,processes,limit,motivates,achieving,required,call,subsampled,',',N,outlier,problems,regrouping,Nevertheless,full,featured,characteristic,faces,trade-off,overly,prepared,extracts,automated,million,10,smaller,numbers,transforms,compared,nonparametric,onto,more,separable,choosing,queries,follows,76.54,difference,character,also,biological,as,uses,upward,cost,divided,seconds,query,suggests,takes,'\%',contribution,present,these,overcome,Third,retrieval,facilitate,databases,shows,describe,initial,optimization,promising,need,studies,their,envisioned,larger,helps,besides,an,sufficiently,aims,first,work,sets,doubles,constructing,computing,four,over-segmenting,regions,Find,Group,Formulate,A,process,space,Thus,constrained,denote,being,indicate,pairing,get,up,repeat,node,original,satisfies,by,hierarchy,hierarchical,recommendations,hit,.,good,recommendation,system,should,accurately,provide,such,users,'\"',them,number,evaluated,pesenting,annotations,existin,will,or,not,half,search,computed,evaluations,//,<,size,all,possible,region,pairs,unclear,me,Do,you,mean,average,sizes,>,taken,be,were,employed,Different-of-Gaussian,DoG,),using,(,interest,points,image,any,helped,channels,did,built,nearly,overlapped,applied,averages,make,take,consisted,may,very,influenced,obtain,can,improving,Thisgives,81,'.97\\',;,meanwhile,rank,drops,2,.27,1,.78,It,worth,noting,keeping,increasing,'\\MATH',always,give,better,precision,since,relies,only,but,robustness,comparison,techniques,Recommend-Me,cannot,around,'20\\',images,due,fact,our,technique,significant,variations,items,Figure,5(,b,another,circumstance,when,we,increase,decline,efficiency,This,branch-and-bound,algorithm,has,visit,parts,total,order,find,extra,local,However,still,three,times,faster,than,exhaustive,important,practical,applications,advantage,'\\REF',presents,examples,returned,byRecommend-Me,We,named,visual,suggestions,described,oursystem,making,Given,retrieved,database,gives,impose,which,how,frequent,appear,conditions,Such,help,select,rapidly,refine,explore,An,solution,presented,To,best,knowledge,attempt,targeted,suggestion,scheme,at,developing}
@attribute st_samestr_binarized {0,1}
@attribute s_stem {prove,in,splitted,of,good,have,be,inconsistency,clasifier,affxes,show,diffculties,spe-cial,effcient,on,cope,largescale,for,which,group,match,select,demonstrate,important,it,Since,to,detect,since,video,one,While,sift,towards,under,work,way,three-fold,employ,improvement,the,',',occurrence,remain,detail,histogram,represent,cluster,include,expensive,etl,model,than,use,create,a,individual,evaluate,reason,offline,appearance,result,state-ofthe-art,propose,performance,with,liminations,Firstly,pair-wise,Secondly,make,appear,together,character,occurences,loss,overlighting,contain,indetify,measure,indicate,consicutive,face,an,inside,case,prevent,that,through,process,limit,motivate,archive,require,call,sub-sampled,N,outlier,these,our,by,problem,at,re-group,Thus,However,fully,report,property,this,trade-o_,overly,prepare,extract,automatic,million,ten,le,number,transform,compare,non-parametric,separatable,from,query,as,follow,76.54,gap,those,during,also,biological,theirs,afterwards,cost,separate,second,suggest,and,take,'\%',perform,contribution,3-fold,present,bypass,Thirdly,retreival,faciliate,database,introduce,intial,opmization,promissing,need,because,expect,higher,support,but,over,other,sufficient,aim,firstly,simultanously,their,set,double,construct,compute,4,oversegmenting,region,Finding,Grouping,Formulating,space,So,repsented,histgoram,constrainted,denote,pare,continue,nod,orginal,satisfy,hierarcy,hierchical,hitogram,hierarchical,exist,recommendation,hit,.,system,should,accurately,provide,such,user,all,some,annotation,determine,precisely,apply,procedure,evaluation,Different-of-Gaussian(,DoG,),interest,point,image,any,help,portion,channel,do,build,highly,overlap,average,well,we,successfully,We,observe,consist,much,influence,obtain,hight,improve,It,bring,81,'.97\\',;,meanwhile,rank,first,drop,2,.27,1,.78,worth,note,keep,inreasing,'\\MATH',may,not,always,give,precision,rely,only,robustness,comparision,technique,Recommend-Me,cannot,around,'20\\',initial,due,fact,deal,significant,variation,item,Figure,5(,b,another,circumstance,when,increase,decline,efficiency,This,branch-and-bound,algorithm,visit,more,part,total,search,order,find,extra,local,still,3,time,fast,exhaustive,practical,application,Its,superiority,'\\REF',example,return,name,visual,suggestion,In,paper,new,Given,retrieve,impose,how,frequent,Such,rapidly,refine,or,explore,An,efficient,solution,To,knowledge,attempt,target,scheme,toward}
@attribute t_stem {prove,for,the,The,split,best-performing,achieve,perform,inconsistency,classifier,affix,provide,difficulty,special,efficient,in,deal,to,large-scale,of,that,group,match,select,a,show,relevant,this,from,Because,be,find,because,video,appearance,Whereas,shift,toward,with,approach,ways,threefold,use,improvement,and,occurrence,remainder,detail,histogram,represent,cluster,include,high,et,model,then,create,individual,each,evaluate,consideration,off-line,result,state-of-the-art,propose,performance,restriction,First,pairwise,Second,cause,occur,simultaneously,character,lose,over-lighting,on,contain,identify,measure,indicate,consecutive,face,within,case,into,prevent,so,over,process,limit,motivate,require,call,subsampled,',',N,outlier,problem,regroup,Nevertheless,full,feature,characteristic,trade-off,overly,prepare,extract,automate,million,10,smaller,number,transform,compare,nonparametric,onto,more,separable,choose,query,follow,76.54,difference,also,biological,as,upward,cost,divide,second,suggest,take,'\%',contribution,present,these,overcome,Third,retrieval,facilitate,database,describe,initial,optimization,promise,need,study,their,envision,larger,help,besides,an,sufficiently,aim,first,work,set,double,construct,compute,four,over-segmenting,region,Find,Group,Formulate,A,space,Thus,constrain,denote,pair,get,up,repeat,node,original,satisfy,by,hierarchy,hierarchical,recommendation,hit,.,good,system,should,accurately,such,user,'\"',them,pesenting,annotation,existin,will,or,not,half,search,evaluation,//,<,size,all,possible,unclear,me,Do,you,mean,average,>,employ,Different-of-Gaussian,DoG,),(,interest,point,image,any,channel,do,build,nearly,overlap,apply,make,consist,may,very,influence,obtain,can,improve,Thisgives,81,'.97\\',;,meanwhile,rank,drop,2,.27,1,.78,It,worth,note,keep,increase,'\\MATH',always,give,precision,since,rely,only,but,robustness,comparison,technique,Recommend-Me,cannot,around,'20\\',due,fact,our,significant,variation,item,Figure,5(,b,another,circumstance,when,we,decline,efficiency,This,branch-and-bound,algorithm,have,visit,part,total,order,extra,local,However,still,three,time,fast,than,exhaustive,important,practical,application,advantage,'\\REF',example,return,byRecommend-Me,We,name,visual,suggestion,oursystem,Given,retrieve,impose,which,how,frequent,appear,condition,Such,rapidly,refine,explore,An,solution,To,knowledge,attempt,target,scheme,at,develop}
@attribute st_samestem_binarized {0,1}
@attribute s_pos {VBN,IN,NN,RB,VB,VBP,NNS,JJ,WDT,VBG,PRP,VBZ,TO,DET,PPR,VBD,CD,NNP,PRPS,CC,POS,JJR,PP,MD,LRB,RRB,PPS,WRB,RBR}
@attribute t_pos {JJ,IN,DET,NN,VBN,NNS,TO,VBZ,VBP,RB,CC,VB,NNP,VBD,VBG,PPR,CD,JJR,POS,PRPS,PP,MD,PRP,SYM,sym>,RRB,LRB,PPS,WRB,RBR,WDT}
@attribute st_precede_binarized {0,1}
@attribute st_follow_binarized {0,1}
@attribute class {preserved,bigrammar-vtense,bigrammar-wform,bigrammar-inter,paraphrase,unaligned,mogrammar-prep,mogrammar-det,bigrammar-prep,bigrammar-det,bigrammar-others,typo-spelling,duplicate,wa}

@data
proved,proven,0,prove,prove,1,VBN,JJ,1,1,typo-spelling
in,for,0,in,for,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
splitted,split,0,splitted,split,0,NN,NN,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
best,best-performing,0,good,best-performing,0,RB,JJ,1,1,paraphrase
have,achieved,0,have,achieve,0,VB,VBN,1,1,paraphrase
are,performed,0,be,perform,0,VBP,VBN,1,1,paraphrase
inconsistency,inconsistencies,0,inconsistency,inconsistency,1,NN,NNS,1,1,bigrammar-others
clasifier,classifier,0,clasifier,classifier,0,NN,NN,1,1,typo-spelling
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
shown,provided,0,show,provide,0,VBN,VBN,1,1,paraphrase
diffculties,difficulties,0,diffculties,difficulty,0,NNS,NNS,1,1,typo-spelling
spe-cial,special,0,spe-cial,special,0,JJ,JJ,1,1,typo-spelling
effcient,efficient,0,effcient,efficient,0,NN,JJ,1,1,typo-spelling
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
cope,deal,0,cope,deal,0,VB,NN,1,1,paraphrase
on,to,0,on,to,0,IN,TO,1,0,bigrammar-prep
largescale,large-scale,0,largescale,large-scale,0,NN,JJ,0,1,typo-spelling
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
which,that,0,which,that,0,WDT,IN,1,1,bigrammar-others
on,to,0,on,to,0,IN,TO,1,1,bigrammar-prep
for,?,0,for,?,0,IN,?,0,0,mogrammar-prep
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
grouping,group,0,group,group,1,VBG,NN,1,1,bigrammar-wform
match,matching,0,match,match,1,NN,JJ,1,0,bigrammar-wform
select,selects,0,select,select,1,JJ,VBZ,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,of,0,for,of,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
demonstrate,show,0,demonstrate,show,0,VB,NN,1,1,paraphrase
important,relevant,0,important,relevant,0,JJ,JJ,1,1,paraphrase
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
it,this,0,it,this,0,PRP,DET,1,1,paraphrase
in,from,0,in,from,0,IN,IN,1,1,bigrammar-prep
Since,Because,0,Since,Because,0,IN,IN,1,1,paraphrase
is,are,0,be,be,1,VBZ,VBP,1,1,bigrammar-others
on,for,0,on,for,0,IN,IN,1,1,bigrammar-prep
to,in,0,to,in,0,TO,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
detected,found,0,detect,find,0,VBN,VBN,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
since,because,0,since,because,0,IN,IN,0,0,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
video,videos,0,video,video,1,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
ones,appearances,0,one,appearance,0,NNS,NNS,1,1,paraphrase
While,Whereas,0,While,Whereas,0,IN,IN,1,1,paraphrase
for,in,0,for,in,0,IN,IN,1,1,bigrammar-det
sifted,shifted,0,sift,shift,0,VBN,VBN,1,0,typo-spelling
towards,toward,0,towards,toward,0,IN,IN,0,0,bigrammar-prep
under,from,0,under,from,0,IN,IN,1,1,bigrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Since,Because,0,Since,Because,0,IN,IN,1,1,paraphrase
works,approaches,0,work,approach,0,NNS,NNS,1,1,paraphrase
way,ways,0,way,ways,0,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
three-fold,threefold,0,three-fold,threefold,0,JJ,RB,0,0,typo-spelling
on,from,0,on,from,0,IN,IN,1,1,bigrammar-prep
employ,use,0,employ,use,0,VB,NN,1,1,paraphrase
of,with,0,of,with,0,IN,IN,1,1,bigrammar-prep
on,of,0,on,of,0,IN,IN,1,1,bigrammar-prep
improvement,improvement,1,improvement,improvement,1,NN,NN,1,0,bigrammar-wform
which,that,0,which,that,0,WDT,IN,1,1,bigrammar-others
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
',',?,0,',',?,0,PPR,?,0,0,unaligned
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
which,and,0,which,and,0,WDT,CC,1,1,paraphrase
occurrence,occurrences,0,occurrence,occurrence,1,NN,NNS,1,1,bigrammar-others
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
remaining,remainder,0,remain,remainder,0,VBG,NN,1,1,bigrammar-wform
details,detail,0,detail,detail,1,NNS,NN,1,1,bigrammar-others
?,to,0,?,to,0,?,TO,0,0,mogrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
employed,used,0,employ,use,0,VBN,VBN,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
histograms,histogram,0,histogram,histogram,1,NNS,NN,1,0,bigrammar-others
represents,represented,0,represent,represent,1,VBZ,VBN,0,1,bigrammar-vtense
cluster,clustered,0,cluster,cluster,1,NN,VBN,1,1,bigrammar-vtense
includes,include,0,include,include,1,VBZ,VB,1,0,bigrammar-others
expensive,high,0,expensive,high,0,JJ,JJ,0,1,paraphrase
etl,et,0,etl,et,0,NN,NNP,1,1,typo-spelling
in,?,0,in,?,0,IN,?,0,0,mogrammar-prep
modelled,modeled,0,model,model,1,NN,VBN,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
is,was,0,be,be,1,VBZ,VBD,1,1,bigrammar-vtense
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
since,because,0,since,because,0,IN,IN,1,1,paraphrase
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
than,then,0,than,then,0,IN,RB,1,0,typo-spelling
use,used,0,use,use,1,NN,VBN,0,1,bigrammar-vtense
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
create,created,0,create,create,1,VB,VBN,1,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
uses,use,0,use,use,1,NNS,NN,1,1,bigrammar-others
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
was,is,0,be,be,1,VBD,VBZ,1,1,bigrammar-vtense
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
individual,individuals,0,individual,individual,1,JJ,NNS,1,1,bigrammar-others
one,each,0,one,each,0,CD,DET,1,1,paraphrase
evaluating,evaluate,0,evaluate,evaluate,1,VBG,VB,1,1,paraphrase
reasons,considerations,0,reason,consideration,0,NNS,NNS,0,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
offline,off-line,0,offline,off-line,0,NN,JJ,1,1,typo-spelling
videos,video,0,video,video,1,NNS,NN,0,0,bigrammar-others
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
appearance,appearances,0,appearance,appearance,1,NN,NNS,1,1,bigrammar-others
results,result,0,result,result,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Since,Because,0,Since,Because,0,IN,IN,1,1,paraphrase
state-ofthe-art,state-of-the-art,0,state-ofthe-art,state-of-the-art,0,JJ,JJ,1,1,typo-spelling
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
