s_str,t_str,st_samestr,s_stem,t_stem,st_samestem,s_pos,t_pos,st_precede,st_follow,class
'a necessary step to process','necessary for processing',0,'a necessary step to process','necessary for process',0,'DET JJ NN TO POS','JJ IN POS',1,0,para-colocation
in,for,0,in,for,0,IN,IN,0,1,bigrammar-prep
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
'has achieved',achieved,0,'have achieve',achieve,0,'VBZ PPR',VBN,1,1,bigrammar-vtense
on,?,0,on,?,0,IN,?,0,0,mogrammar-prep
includes,include,0,include,include,1,VBZ,VB,1,1,bigrammar-inter
the,a,0,the,a,0,DET,DET,1,1,bigrammar-det
are,is,0,be,be,1,VBP,VBZ,1,1,bigrammar-others
compare,comparing,0,compare,compare,1,VB,VBG,1,1,bigrammar-inter
affect,affects,0,affect,affect,1,VB,VBZ,1,0,bigrammar-inter
setup,'set up',0,setup,'set up',0,NN,'NN POS',1,1,typo-spelling
of,for,0,of,for,0,IN,IN,1,1,bigrammar-det
?,'as to',0,?,'as to',0,?,'IN PPR',0,0,mogrammar-prep
text,texts,0,text,text,1,NN,NNS,1,1,bigrammar-nnum
text,texts,0,text,text,1,NN,NNS,1,1,bigrammar-nnum
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
with,from,0,with,from,0,IN,IN,1,0,bigrammar-prep
'view of point',point-of-view,0,'view of point',point-of-view,0,'NN IN POS',JJ,1,1,typo-spelling
see,sees,0,see,see,1,VB,VBZ,1,0,bigrammar-inter
accuracy,accuracies,0,accuracy,accuracy,1,NN,NNS,1,1,bigrammar-nnum
'have used',used,0,'have use',use,0,'VB PPR',VBN,1,1,bigrammar-vtense
In,For,0,In,For,0,IN,IN,1,1,bigrammar-prep
'have combined',combined,0,'have combine',combine,0,'VB PPR',JJ,1,0,bigrammar-vtense
'have used',used,0,'have use',use,0,'VB PPR',VBN,1,1,bigrammar-vtense
divide,divided,0,divide,divide,1,NN,VBN,1,0,bigrammar-vtense
'have sorted',sorted,0,'have sort',sort,0,'VB PPR',VBN,1,1,bigrammar-vtense
'are removed','were removed',0,'be remove','be remove',1,'VBP PPR','VBD PPR',1,0,bigrammar-vtense
'have sampled',sampled,0,'have sample',sample,0,'VB PPR',VBN,1,1,bigrammar-vtense
extract,extracted,0,extract,extract,1,NN,VBN,1,1,bigrammar-vtense
'have merged',merged,0,'have merge',merge,0,'VB PPR',JJ,1,1,bigrammar-vtense
