s_str,t_str,st_samestr,s_stem,t_stem,st_samestem,s_pos,t_pos,st_precede,st_follow,class
already,already,1,already,already,1,RB,RB,1,1,Vform
as,as,1,as,as,1,IN,IN,1,1,SVA
obtain,obtained,0,obtain,obtain,1,VB,VBN,1,1,Vform
is,are,0,be,be,1,VBZ,VBP,1,1,Vform
the,their,0,the,their,0,DET,PRPS,1,1,ArtOrDet
a,?,0,a,?,0,DET,?,0,0,ArtOrDet
the,?,0,the,?,0,DET,?,0,0,ArtOrDet
Japan,Japan,1,Japan,Japan,1,NNP,NNP,1,0,Mec
in,?,0,in,?,0,IN,?,0,0,Rloc
',',?,0,',',?,0,PPR,?,0,0,ArtOrDet
to,to,1,to,to,1,TO,TO,1,0,Vform
and,and,1,and,and,1,CC,CC,1,0,Vform
water,water,1,water,water,1,NN,NN,1,0,Mec
',',',',1,',',',',1,PPR,PPR,1,0,Pref
of,of,1,of,of,1,IN,IN,1,0,Pref
',',',',1,',',',',1,PPR,PPR,1,0,Mec
technologically,technological,0,technologically,technological,0,RB,JJ,1,1,Wform
hack,hackers,0,hack,hacker,0,VB,NNS,1,1,Wform
the,?,0,the,?,0,DET,?,0,0,ArtOrDet
identification,identification,1,identification,identification,1,NN,NN,1,0,SVA
be,be,1,be,be,1,VB,VB,1,0,Mec
had,has,0,have,have,1,VBD,VBZ,1,1,Vt
can,could,0,can,could,0,MD,MD,1,1,Vt
technology,technology,1,technology,technology,1,NN,NN,1,0,Vt
sprung,sprang,0,spring,spring,1,VBN,VBD,1,1,Vform
the,the,1,the,the,1,DET,DET,1,0,Wform
China,China,1,China,China,1,NNP,NNP,1,0,Vt
have,has,0,have,have,1,VB,VBZ,1,1,SVA
characterized,characterize,0,characterize,characterize,1,VBN,VB,1,1,Vt
development,development,1,development,development,1,NN,NN,1,0,Vt
had,has,0,have,have,1,VBD,VBZ,1,1,Vt
trap,trapped,0,trap,trap,1,NN,JJ,1,1,Wform
information,information,1,information,information,1,NN,NN,1,0,SVA
the,?,0,the,?,0,DET,?,0,0,ArtOrDet
the,a,0,the,a,0,DET,DET,1,1,ArtOrDet
had,has,0,have,have,1,VBD,VBZ,1,1,Vt
had,has,0,have,have,1,VBD,VBZ,1,1,Vt
and,and,1,and,and,1,CC,CC,1,0,Vt
fuels,fuels,1,fuel,fuel,1,NNS,NNS,1,0,SVA
give,gives,0,give,give,1,VB,VBZ,1,1,SVA
had,have,0,have,have,1,VBD,VB,1,1,Vt
them,themselves,0,them,themselves,0,PRP,PRP,1,1,Pform
had,have,0,have,have,1,VBD,VB,1,1,Vt
we,we,1,we,we,1,PRP,PRP,1,0,Vt
fuels,fuels,1,fuel,fuel,1,NNS,NNS,1,0,SVA
produce,produces,0,produce,produce,1,VB,VBZ,1,0,ArtOrDet
water,water,1,water,water,1,NN,NN,1,0,Mec
the,?,0,the,?,0,DET,?,0,0,ArtOrDet
option,option,1,option,option,1,NN,NN,1,0,Mec
had,has,0,have,have,1,VBD,VBZ,1,1,Vt
problems,problems,1,problem,problem,1,NNS,NNS,1,0,Mec
become,become,1,become,become,1,VBN,VBN,1,1,Um
situation,situation,1,situation,situation,1,NN,NN,1,0,Vt
University,University,1,University,University,1,NNP,NNP,1,1,Vform
one,one,1,one,one,1,CD,CD,1,1,Mec
that,that,1,that,that,1,IN,IN,1,1,Rloc
'\'','\'',1,\,\,1,SYM,SYM,1,0,Wform
'\'s','\'s',1,\s,\s,1,PPR,PPR,1,1,Um
required,require,0,require,require,1,VBN,VB,1,1,Vt
the,?,0,the,?,0,DET,?,0,0,ArtOrDet
the,?,0,the,?,0,DET,?,0,0,ArtOrDet
