@relation csv-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last

@attribute s_str {splitted,whole,given,of,affxes,inconsistency,presents,fruitful,ways,hypen,segmenation,proved,in,best,have,are,clasifier,shown,diffculties,spe-cial,effcient,on,cope,largescale,for,which,grouping,match,select,important,it,Since,is,to,since,video,ones,While,sifted,towards,under,works,way,employ,the,occurrence,remaining,details,employed,histograms,represents,cluster,etl,modelled,than,use,create,uses,a,was,individual,one,evaluating,offline,videos,results,propose,with,pair-wise,Secondly,make,appear,together,character,occurences,loss,overlighting,contain,indetify,measures,faces,an,inside,case,prevent,that,through,process,expensive,limits,motivate,its,require,sub-sampled,these,our,shows,by,problem,at,re-group,However,fully,reported,property,face,this,prepare,extract,millions,ten,less,number,transform,compare,non-parametric,better,separatable,selecting,gap,Firstly,those,theirs,afterwards,costs,separated,suggest,perform,contributions,3-fold,presented,bypass,faciliate,database,introduces,matched,introduce,intial,opmization,promissing,needs,because,expected,higher,supports,over,contains,sufficient,aim,firstly,simultanously,their,set,doubled,construct,compute,4,oversegmenting,region,Finding,Grouping,Formulating,processs,spaces,So,repsented,histgoram,constrainted,denotes,continue,nodes,orginal,satisfy,hierarcy,peformed,hierchical,then,hitogram,At,show,illustration,hierarchical,',',exists,as,Thus,some,evaluate,recommendation,introducing,annotation,indicates,existed,determined,precisely,apply,take,procedure,evaluation,portion,channel,we,used,two,color,channels,RGB,and,Hue,regions,generated,can,cover,99,'.72\\','\%',area,annotated,item,dataset,.,created,In,addition,rectangular,do,not,any,visual,word,or,smaller,40,x,pixels,discarded,they,form,meaningful,build,highly,overlap,applied,averaged,numbers,well,The,Recommend-Me,hit,recommendations,users,high,precision,(,approximately,80,'.27\\',),successfully,takes,We,observed,first,type,consists,background,e.g,trees,buildings,roads,easily,found,many,images,much,influence,obtain,hight,improves,It,brings,also,Figure,5(,demonstrates,circumstance,When,'\\MATH',increases,from,2000,10000,74,'.67\\',81,'.97\\',;,meanwhile,average,rank,drops,2,.27,1,.78,worth,noting,keeping,inreasing,may,always,give,relies,only,but,robustness,comparision,techniques,cannot,provide,around,'20\\',initial,query,due,fact,technique,deal,significant,variations,items,b,another,when,increase,decline,efficiency,improvement,This,branch-and-bound,algorithm,has,visit,more,parts,total,search,space,order,find,extra,local,all,evaluations,still,performs,3,times,faster,exhaustive,practical,applications,Its,superiority,'\\REF',examples,returned,named,suggestion,paper,introduced,new,system,Given,image,retrieved,imposes,how,frequent,Such,support,rapidly,refine,explore,An,efficient,solution,To,knowledge,attempt,targeted,scheme,toward}
@attribute t_str {split,overall,provided,of,for,by,affixes,inconsistencies,present,successful,methods,the,hyphen,segmentation,proven,The,best-performing,achieved,performed,classifier,difficulties,special,efficient,in,deal,to,large-scale,that,group,matching,selects,a,relevant,this,from,Because,are,because,videos,appearances,Whereas,shifted,toward,with,approaches,ways,use,and,occurrences,remainder,detail,used,histogram,represented,clustered,et,modeled,was,then,created,is,individuals,each,evaluate,off-line,video,result,proposed,pairwise,Second,causes,occur,simultaneously,characters,lost,over-lighting,on,containing,identify,measure,face,within,cases,into,prevents,so,over,processes,high,limit,motivates,required,subsampled,show,problems,regrouping,Nevertheless,full,featured,characteristic,faces,prepared,extracts,million,10,smaller,numbers,transforms,compared,nonparametric,onto,more,separable,choosing,difference,First,uses,upward,cost,divided,suggests,contribution,threefold,these,overcome,facilitate,databases,shows,describe,initial,optimization,promising,need,studies,their,envisioned,larger,helps,an,sufficiently,aims,first,work,sets,doubles,constructing,computing,four,over-segmenting,regions,Find,Group,Formulate,A,process,space,Thus,constrained,denote,being,repeat,node,original,satisfies,guess,.,>,hierarchy,we,perform,hierarchical,illustratie,making,'\"',',',them,number,evaluated,recommendations,pesenting,annotations,indicating,existin,will,provide,or,not,computed,evaluations,//,<,size,all,possible,region,pairs,unclear,me,Do,you,mean,average,sizes,taken,be,were,employed,using,(,channels,two,color,RGB,Hue,since,generated,those,can,cover,99,'.72\\','\%',area,annotated,item,our,dataset,In,addition,rectangular,which,did,contain,any,visual,word,than,40,x,pixels,discarded,they,form,meaningful,recommendation,built,nearly,overlapped,applied,averages,results,Recommend-Me,hit,users,precision,approximately,80,'.27\\',),make,take,type,consisted,background,e.g,trees,buildings,roads,easily,found,many,images,may,very,influenced,obtain,improving,Thisgives,Figure,5(,demonstrates,circumstance,When,'\\MATH',increases,2000,10000,74,'.67\\',81,'.97\\',;,meanwhile,rank,drops,2,.27,1,.78,It,worth,noting,keeping,increasing,always,give,better,relies,only,but,also,robustness,comparison,techniques,cannot,around,'20\\',query,due,fact,technique,significant,variations,items,b,another,when,increase,decline,efficiency,improvement,This,branch-and-bound,algorithm,has,visit,parts,total,search,order,find,extra,local,However,still,three,times,faster,exhaustive,important,practical,applications,advantage,'\\REF',presents,examples,returned,byRecommend-Me,We,named,suggestions,described,oursystem,Given,image,retrieved,database,gives,impose,how,frequent,appear,conditions,Such,help,select,rapidly,refine,explore,An,solution,presented,To,best,knowledge,attempt,targeted,suggestion,scheme,at,developing}
@attribute st_samestr_binarized {0,1}
@attribute s_stem {splitted,whole,give,of,affxes,inconsistency,present,fruitful,ways,hypen,segmenation,prove,in,good,have,be,clasifier,show,diffculties,spe-cial,effcient,on,cope,largescale,for,which,group,match,select,important,it,Since,to,since,video,one,While,sift,towards,under,work,way,employ,the,occurrence,remain,detail,histogram,represent,cluster,etl,model,than,use,create,a,individual,evaluate,offline,result,propose,with,pair-wise,Secondly,make,appear,together,character,occurences,loss,overlighting,contain,indetify,measure,face,an,inside,case,prevent,that,through,process,expensive,limit,motivate,require,sub-sampled,these,our,by,problem,at,re-group,However,fully,report,property,this,prepare,extract,million,ten,le,number,transform,compare,non-parametric,separatable,gap,Firstly,those,theirs,afterwards,cost,separate,suggest,perform,contribution,3-fold,bypass,faciliate,database,introduce,intial,opmization,promissing,need,because,expect,higher,support,over,sufficient,aim,firstly,simultanously,their,set,double,construct,compute,4,oversegmenting,region,Finding,Grouping,Formulating,space,So,repsented,histgoram,constrainted,denote,continue,nod,orginal,satisfy,hierarcy,peformed,hierchical,then,hitogram,At,illustration,hierarchical,',',exist,as,Thus,some,recommendation,annotation,indicate,determine,precisely,apply,take,procedure,evaluation,portion,channel,we,two,color,RGB,and,Hue,generate,can,cover,99,'.72\\','\%',area,annotate,item,dataset,.,In,addition,rectangular,do,not,any,visual,word,or,smaller,40,x,pixel,discard,they,form,meaningful,build,highly,overlap,average,well,The,Recommend-Me,hit,user,high,precision,(,approximately,80,'.27\\',),successfully,We,observe,first,type,consist,background,e.g,tree,roads,easily,find,many,image,much,influence,obtain,hight,improve,It,bring,also,Figure,5(,demonstrate,circumstance,When,'\\MATH',increase,from,2000,10000,74,'.67\\',81,'.97\\',;,meanwhile,rank,drop,2,.27,1,.78,worth,note,keep,inreasing,may,always,rely,only,but,robustness,comparision,technique,cannot,provide,around,'20\\',initial,query,due,fact,deal,significant,variation,b,another,when,decline,efficiency,improvement,This,branch-and-bound,algorithm,visit,more,part,total,search,order,extra,local,all,still,3,time,fast,exhaustive,practical,application,Its,superiority,'\\REF',example,return,name,suggestion,paper,new,system,Given,retrieve,impose,how,frequent,Such,rapidly,refine,explore,An,efficient,solution,To,knowledge,attempt,target,scheme,toward}
@attribute t_stem {split,overall,provide,of,for,by,affix,inconsistency,present,successful,method,the,hyphen,segmentation,prove,The,best-performing,achieve,perform,classifier,difficulty,special,efficient,in,deal,to,large-scale,that,group,match,select,a,relevant,this,from,Because,be,because,video,appearance,Whereas,shift,toward,with,approach,ways,use,and,occurrence,remainder,detail,histogram,represent,cluster,et,model,then,create,individual,each,evaluate,off-line,result,propose,pairwise,Second,cause,occur,simultaneously,character,lose,over-lighting,on,contain,identify,measure,face,within,case,into,prevent,so,over,process,high,limit,motivate,require,subsampled,show,problem,regroup,Nevertheless,full,feature,characteristic,prepare,extract,million,10,smaller,number,transform,compare,nonparametric,onto,more,separable,choose,difference,First,upward,cost,divide,suggest,contribution,threefold,these,overcome,facilitate,database,describe,initial,optimization,promise,need,study,their,envision,larger,help,an,sufficiently,aim,first,work,set,double,construct,compute,four,over-segmenting,region,Find,Group,Formulate,A,space,Thus,constrain,denote,repeat,node,original,satisfy,guess,.,>,hierarchy,we,hierarchical,illustratie,make,'\"',',',them,recommendation,pesenting,annotation,indicate,existin,will,or,not,evaluation,//,<,size,all,possible,pair,unclear,me,Do,you,mean,average,take,employ,(,channel,two,color,RGB,Hue,since,generate,those,can,cover,99,'.72\\','\%',area,annotate,item,our,dataset,In,addition,rectangular,which,do,any,visual,word,than,40,x,pixel,discard,they,form,meaningful,build,nearly,overlap,apply,Recommend-Me,hit,user,precision,approximately,80,'.27\\',),type,consist,background,e.g,tree,roads,easily,find,many,image,may,very,influence,obtain,improve,Thisgives,Figure,5(,demonstrate,circumstance,When,'\\MATH',increase,2000,10000,74,'.67\\',81,'.97\\',;,meanwhile,rank,drop,2,.27,1,.78,It,worth,note,keep,always,give,good,rely,only,but,also,robustness,comparison,technique,cannot,around,'20\\',query,due,fact,significant,variation,b,another,when,decline,efficiency,improvement,This,branch-and-bound,algorithm,have,visit,part,total,search,order,extra,local,However,still,three,time,fast,exhaustive,important,practical,application,advantage,'\\REF',example,return,byRecommend-Me,We,name,suggestion,oursystem,Given,retrieve,impose,how,frequent,appear,condition,Such,rapidly,refine,explore,An,solution,To,knowledge,attempt,target,scheme,at,develop}
@attribute st_samestem_binarized {0,1}
@attribute s_pos {NN,JJ,VBN,IN,NNS,RB,VB,VBP,WDT,VBG,PRP,VBZ,TO,DET,VBD,CD,PRPS,CC,NNP,JJR,PPR,MD,POS,PP,SYM,LRB,RRB,WRB,PPS,RBR}
@attribute t_pos {NN,JJ,VBN,IN,NNS,DET,TO,VBZ,VBP,CC,NNP,VBD,RB,VB,VBG,CD,JJR,PRPS,PP,SYM,PRP,PPR,MD,sym>,LRB,POS,WDT,RRB,WRB,PPS,RBR}
@attribute st_precede_binarized {0,1}
@attribute st_follow_binarized {0,1}
@attribute class {preserved,bigrammar-others,mogrammar-det,bigrammar-vtense,bigrammar-prep,paraphrase,bigrammar-inter,bigrammar-det,unaligned,mogrammar-prep,spelling,typo,bigrammar-wform,duplicate,wa}

@data
splitted,split,0,splitted,split,0,NN,NN,1,1,spelling
whole,overall,0,whole,overall,0,JJ,JJ,1,1,paraphrase
given,provided,0,give,provide,0,VBN,VBN,1,1,paraphrase
of,of,1,of,of,1,IN,IN,1,1,bigrammar-prep
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
?,by,0,?,by,0,?,IN,0,0,mogrammar-prep
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
splitted,split,0,splitted,split,0,NN,NN,1,0,spelling
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
inconsistency,inconsistencies,0,inconsistency,inconsistency,1,NN,NNS,0,1,bigrammar-others
presents,present,0,present,present,1,NNS,JJ,1,1,bigrammar-others
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
splitted,split,0,splitted,split,0,NN,NN,1,1,spelling
fruitful,successful,0,fruitful,successful,0,JJ,JJ,1,1,paraphrase
ways,methods,0,ways,method,0,NNS,NNS,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
hypen,hyphen,0,hypen,hyphen,0,NN,NN,1,0,typo
segmenation,segmentation,0,segmenation,segmentation,0,NN,NN,1,1,typo
proved,proven,0,prove,prove,1,VBN,JJ,1,1,spelling
in,for,0,in,for,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
splitted,split,0,splitted,split,0,NN,NN,1,1,spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
best,best-performing,0,good,best-performing,0,RB,JJ,1,1,paraphrase
have,achieved,0,have,achieve,0,VB,VBN,1,1,paraphrase
are,performed,0,be,perform,0,VBP,VBN,1,1,paraphrase
inconsistency,inconsistencies,0,inconsistency,inconsistency,1,NN,NNS,1,1,bigrammar-others
clasifier,classifier,0,clasifier,classifier,0,NN,NN,1,1,typo
affxes,affixes,0,affxes,affix,0,NNS,NNS,1,1,typo
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
shown,provided,0,show,provide,0,VBN,VBN,1,1,paraphrase
diffculties,difficulties,0,diffculties,difficulty,0,NNS,NNS,1,1,typo
spe-cial,special,0,spe-cial,special,0,JJ,JJ,1,1,typo
effcient,efficient,0,effcient,efficient,0,NN,JJ,1,1,typo
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
cope,deal,0,cope,deal,0,VB,NN,1,1,paraphrase
on,to,0,on,to,0,IN,TO,1,0,bigrammar-prep
largescale,large-scale,0,largescale,large-scale,0,NN,JJ,0,1,spelling
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
which,that,0,which,that,0,WDT,IN,1,1,bigrammar-others
on,to,0,on,to,0,IN,TO,1,1,bigrammar-prep
for,?,0,for,?,0,IN,?,0,0,mogrammar-prep
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
grouping,group,0,group,group,1,VBG,NN,1,1,bigrammar-wform
match,matching,0,match,match,1,NN,JJ,1,0,bigrammar-wform
select,selects,0,select,select,1,JJ,VBZ,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,of,0,for,of,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
important,relevant,0,important,relevant,0,JJ,JJ,1,1,paraphrase
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
it,this,0,it,this,0,PRP,DET,1,1,paraphrase
in,from,0,in,from,0,IN,IN,1,1,bigrammar-prep
Since,Because,0,Since,Because,0,IN,IN,1,1,paraphrase
is,are,0,be,be,1,VBZ,VBP,1,1,bigrammar-others
on,for,0,on,for,0,IN,IN,1,1,bigrammar-prep
to,in,0,to,in,0,TO,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
since,because,0,since,because,0,IN,IN,0,0,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
video,videos,0,video,video,1,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
ones,appearances,0,one,appearance,0,NNS,NNS,1,1,paraphrase
While,Whereas,0,While,Whereas,0,IN,IN,1,1,paraphrase
for,in,0,for,in,0,IN,IN,1,1,bigrammar-det
sifted,shifted,0,sift,shift,0,VBN,VBN,1,0,typo
towards,toward,0,towards,toward,0,IN,IN,0,0,bigrammar-prep
under,from,0,under,from,0,IN,IN,1,1,bigrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Since,Because,0,Since,Because,0,IN,IN,1,1,paraphrase
works,approaches,0,work,approach,0,NNS,NNS,1,1,paraphrase
way,ways,0,way,ways,0,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
on,from,0,on,from,0,IN,IN,1,1,bigrammar-prep
employ,use,0,employ,use,0,VB,NN,1,1,paraphrase
of,with,0,of,with,0,IN,IN,1,1,bigrammar-prep
which,that,0,which,that,0,WDT,IN,1,1,bigrammar-others
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
which,and,0,which,and,0,WDT,CC,1,1,paraphrase
occurrence,occurrences,0,occurrence,occurrence,1,NN,NNS,1,1,bigrammar-others
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
remaining,remainder,0,remain,remainder,0,VBG,NN,1,1,bigrammar-wform
details,detail,0,detail,detail,1,NNS,NN,1,1,bigrammar-others
?,to,0,?,to,0,?,TO,0,0,mogrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
employed,used,0,employ,use,0,VBN,VBN,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
histograms,histogram,0,histogram,histogram,1,NNS,NN,1,0,bigrammar-others
represents,represented,0,represent,represent,1,VBZ,VBN,0,1,bigrammar-vtense
cluster,clustered,0,cluster,cluster,1,NN,VBN,1,1,bigrammar-vtense
etl,et,0,etl,et,0,NN,NNP,1,1,typo
in,?,0,in,?,0,IN,?,0,0,mogrammar-prep
modelled,modeled,0,model,model,1,NN,VBN,1,1,spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
is,was,0,be,be,1,VBZ,VBD,1,1,bigrammar-vtense
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
since,because,0,since,because,0,IN,IN,1,1,paraphrase
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
than,then,0,than,then,0,IN,RB,1,0,typo
use,used,0,use,use,1,NN,VBN,0,1,bigrammar-vtense
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
create,created,0,create,create,1,VB,VBN,1,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
uses,use,0,use,use,1,NNS,NN,1,1,bigrammar-others
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
was,is,0,be,be,1,VBD,VBZ,1,1,bigrammar-vtense
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
individual,individuals,0,individual,individual,1,JJ,NNS,1,1,bigrammar-others
one,each,0,one,each,0,CD,DET,1,1,paraphrase
evaluating,evaluate,0,evaluate,evaluate,1,VBG,VB,1,1,paraphrase
offline,off-line,0,offline,off-line,0,NN,JJ,1,1,spelling
videos,video,0,video,video,1,NNS,NN,0,0,bigrammar-others
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
results,result,0,result,result,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
propose,proposed,0,propose,propose,1,VB,JJ,1,0,bigrammar-vtense
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
