@relation csv-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last

@attribute s_str {proved,splitted,inconsistency,representing,of,for,grouping,match,select,is,human,detected,video,way,compare,the,occurrence,remaining,details,employed,histograms,cluster,includes,in,modelled,employ,use,create,uses,was,individual,dataset,evaluating,reasons,appearance,results,to,'can not',performances,'to determine',Firstly,Secondly,make,character,loss,contain,measures,indicates,faces,inside,case,prevent,are,process,expensive,limits,motivate,a,require,'for improving',called,outliers,'for detecting',our,problem,Thus,fully,with,prepare,extract,millions,ten,transform,'to select',query,'to evaluate',MAP,variation,'to be used','can be',separated,take,achieve,perform,contributions,presented,Thirdly,database,an,matched,works,expected,higher,over,reduces,contains,sufficient,'to describe',aim,firstly,by,simultanously,their,set,doubled,construct,compute,4,region,Finding,Grouping,Formulating,spaces,denotes,have,nodes,satisfy,hierarchical,such,hit,recommendation,some,all,introduced,evaluate,'recommendation and',those,on,introducing,annotation,existed,determined,precisely,introduce,used,apply,procedure,performance,evaluation,reported,as,',',DoG,),.,Different-of-Gaussian(,'is built','is used',helps,portion,etc,'use the',channel,which,created,do,'build a',overlap,highly,applied,'is one',averaged,numbers,well,we,successfully,takes,recommendations,We,observed,that,there,consists,'are still',much,'under the influence of',obtain,hight,improves,It,brings,also,'drop of',drops,2,.27,from,1,.78,worth,noting,keeping,'\\MATH',may,not,always,give,better,precision,since,relies,only,but,robustness,techniques,inreasing,comparision,Recommend-Me,cannot,provide,any,around,'20\%',initial,images,due,fact,technique,deal,significant,variations,'of items',Figure,5(,b,shows,another,circumstance,when,increase,'decline of',efficiency,improvement,This,because,branch-and-bound,algorithm,has,visit,more,parts,total,search,space,order,find,extra,local,optimals,However,evaluations,still,performs,3,times,faster,than,exhaustive,important,practical,applications,Its,superiority,'\\REF',presents,examples,returned,named,visual,suggestion,In,this,paper,new,system,Given,image,and,retrieved,imposes,how,frequent,items,appear,introduces,Such,support,users,rapidly,refine,or,explore,An,efficient,solution,To,best,knowledge,first,attempt,targeted,scheme,toward,its}
@attribute t_str {proven,the,The,split,inconsistencies,'that represent',of,group,matching,selects,a,are,people,found,videos,with,ways,compared,to,occurrences,remainder,detail,used,histogram,clustered,include,modeled,was,using,created,use,is,individuals,datasets,evaluate,considerations,appearances,result,cannot,performance,in,'in determining',First,Second,causes,characters,lost,containing,measure,indicating,on,face,within,cases,prevents,processes,high,limit,motivates,required,'to improve',call,outlier,'to detect',problems,full,prepared,extracts,million,10,transforms,'for selecting','in selecting',queries,'for evaluating',variations,'for use',uses,divided,takes,achieved,performed,contribution,present,Third,databases,studies,their,envisioned,larger,an,reduce,sufficiently,describing,aims,first,simultaneously,from,sets,doubles,constructing,computing,four,regions,Find,'will be',Group,Formulate,A,space,denote,being,indicate,get,up,node,satisfies,hierarchy,'recommendations\"','\"',and,them,number,evaluated,'recommendations and',these,pesenting,annotations,recommendations,recommendation,existin,will,provide,or,not,computed,evaluations,//<,size,all,possible,region,pairs,unclear,me,.,Do,you,mean,average,sizes,?>,taken,be,were,employed,DoG,),Different-of-Gaussian,(,'was built','was used',helped,etc.,',','used the',channels,did,'built a',overlapped,nearly,applied,'was one',averages,make,take,There,consisted,'may still be','influenced by',obtain,can,improving,Thisgives,'drop in',hit,drops,2,.27,1,.78,It,worth,noting,that,keeping,'\\MATH',may,always,give,better,precision,since,relies,only,but,also,robustness,techniques,increasing,comparison,Recommend-Me,any,for,around,'20\%',initial,query,images,due,fact,our,technique,deal,significant,'in the items',Figure,5(,b,shows,another,circumstance,when,we,increase,'decline in the',efficiency,improvement,This,because,branch-and-bound,algorithm,has,visit,more,parts,total,search,order,find,extra,local,opitimals,However,still,three,times,faster,than,exhaustive,important,practical,applications,advantage,'\\REF',presents,examples,returned,byRecommend-Me,named,visual,suggestions,We,described,oursystem,making,Given,image,retrieved,database,impose,which,how,frequent,items,appear,gives,conditions,Such,help,users,select,rapidly,refine,explore,An,efficient,solution,'was also',presented,To,best,knowledge,attempt,targeted,suggestion,scheme,at,developing}
@attribute st_samestr_binarized {0,1}
@attribute s_stem {prove,splitted,inconsistency,represent,of,for,group,match,select,be,human,detect,video,way,compare,the,occurrence,remain,detail,employ,histogram,cluster,include,in,model,use,create,individual,dataset,evaluate,reason,appearance,result,to,'can not',performance,'to determine',Firstly,Secondly,make,character,loss,contain,measure,indicate,face,inside,case,prevent,process,expensive,limit,motivate,a,require,'for improve',call,outlier,'for detect',our,problem,Thus,fully,with,prepare,extract,million,ten,transform,'to select',query,'to evaluate',MAP,variation,'to be use','can be',separate,take,achieve,perform,contribution,present,Thirdly,database,an,work,expect,higher,over,reduce,sufficient,'to describe',aim,firstly,by,simultanously,their,set,double,construct,compute,4,region,Finding,Grouping,Formulating,space,denote,have,nod,satisfy,hierarchical,such,hit,recommendation,some,all,introduce,'recommendation and',those,on,annotation,exist,determine,precisely,apply,procedure,evaluation,report,as,',',DoG,),.,Different-of-Gaussian(,'be build','be use',help,portion,etc,'use the',channel,which,do,'build a',overlap,highly,'be one',average,number,well,we,successfully,We,observe,that,there,consist,'be still',much,'under the influence of',obtain,hight,improve,It,bring,also,'drop of',drop,2,.27,from,1,.78,worth,note,keep,'\\MATH',may,not,always,give,good,precision,since,rely,only,but,robustness,technique,inreasing,comparision,Recommend-Me,cannot,provide,any,around,'20\%',initial,image,due,fact,deal,significant,'of item',Figure,5(,b,show,another,circumstance,when,increase,'decline of',efficiency,improvement,This,because,branch-and-bound,algorithm,visit,more,part,total,search,order,find,extra,local,optimals,However,still,3,time,fast,than,exhaustive,important,practical,application,Its,superiority,'\\REF',example,return,name,visual,suggestion,In,this,paper,new,system,Given,and,retrieve,impose,how,frequent,item,appear,Such,support,user,rapidly,refine,or,explore,An,efficient,solution,To,knowledge,first,attempt,target,scheme,toward,it}
@attribute t_stem {prove,the,The,split,inconsistency,'that represent',of,group,match,select,a,be,people,find,video,with,ways,compare,to,occurrence,remainder,detail,use,histogram,cluster,include,model,create,individual,datasets,evaluate,consideration,appearance,result,cannot,performance,in,'in determine',First,Second,cause,character,lose,contain,measure,indicate,on,face,within,case,prevent,process,high,limit,motivate,require,'to improve',call,outlier,'to detect',problem,full,prepare,extract,million,10,transform,'for select','in select',query,'for evaluate',variation,'for use',divide,take,achieve,perform,contribution,present,Third,database,study,their,envision,larger,an,reduce,sufficiently,describe,aim,first,simultaneously,from,set,double,construct,compute,four,region,Find,'will be',Group,Formulate,A,space,denote,get,up,node,satisfy,hierarchy,'recommendations\"','\"',and,them,number,'recommendation and',these,pesenting,annotation,recommendation,existin,will,provide,or,not,evaluation,//<,size,all,possible,pair,unclear,me,.,Do,you,mean,average,?>,employ,DoG,),Different-of-Gaussian,(,'be build','be use',help,etc.,',','use the',channel,do,'build a',overlap,nearly,apply,'be one',make,There,consist,'may still be','influence by',obtain,can,improve,Thisgives,'drop in',hit,drop,2,.27,1,.78,It,worth,note,that,keep,'\\MATH',may,always,give,good,precision,since,rely,only,but,also,robustness,technique,increase,comparison,Recommend-Me,any,for,around,'20\%',initial,image,due,fact,our,deal,significant,'in the item',Figure,5(,b,show,another,circumstance,when,we,'decline in the',efficiency,improvement,This,because,branch-and-bound,algorithm,have,visit,more,part,total,search,order,extra,local,opitimals,However,still,three,time,fast,than,exhaustive,important,practical,application,advantage,'\\REF',example,return,byRecommend-Me,name,visual,suggestion,We,oursystem,Given,retrieve,impose,which,how,frequent,item,appear,condition,Such,user,rapidly,refine,explore,An,efficient,solution,'be also',To,knowledge,attempt,target,scheme,at,develop}
@attribute st_samestem_binarized {0,1}
@attribute s_pos {VBN,NN,VBG,IN,JJ,VBZ,VB,DET,NNS,VBD,TO,'MD PPR','TO PPR',NNP,RB,VBP,'IN PPR',PRPS,'TO VB PPR',JJR,CD,'NN PPS',PPR,RRB,PP,LRB,'VBZ PPR','NN POS',WDT,'VB POS','VBZ POS',PRP,'VBP PPR','IN DET NN POS',MD,CC,POS,'IN POS',WRB,RBR}
@attribute t_pos {JJ,DET,NN,NNS,'IN PPR',IN,VBZ,VBP,VBN,TO,VB,VBD,VBG,NNP,'TO PPR',CD,'IN POS',PRPS,JJR,RB,'MD PPR',PPR,CC,PRP,'NNS PPS',MD,sym>,PP,SYM,RRB,LRB,'VBD PPR','VBN POS','VBD POS',EX,'MD RB PPR','NN POS',POS,'IN DET POS',WRB,'NN IN POS',RBR,WDT}
@attribute st_precede_binarized {0,1}
@attribute st_follow_binarized {0,1}
@attribute class {preserved,bigrammar-vtense,bigrammar-wform,bigrammar-inter,paraphrase,unaligned,mogrammar-prep,mogrammar-det,bigrammar-prep,bigrammar-det,bigrammar-others,typo-spelling,duplicate,wa}

@data
proved,proven,0,prove,prove,1,VBN,JJ,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
splitted,split,0,splitted,split,0,NN,NN,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
inconsistency,inconsistencies,0,inconsistency,inconsistency,1,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
representing,'that represent',0,represent,'that represent',0,VBG,'IN PPR',1,1,paraphrase
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
for,?,0,for,?,0,IN,?,0,0,mogrammar-prep
grouping,group,0,group,group,1,VBG,NN,1,1,bigrammar-wform
match,matching,0,match,match,1,NN,JJ,1,0,bigrammar-wform
select,selects,0,select,select,1,JJ,VBZ,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
is,are,0,be,be,1,VBZ,VBP,1,1,bigrammar-others
human,people,0,human,people,0,JJ,NNS,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
detected,found,0,detect,find,0,VBN,VBN,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
video,videos,0,video,video,1,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
way,ways,0,way,ways,0,NN,NNS,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
compare,compared,0,compare,compare,1,VB,VBN,1,0,bigrammar-wform
?,to,0,?,to,0,?,TO,0,0,mogrammar-prep
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
occurrence,occurrences,0,occurrence,occurrence,1,NN,NNS,1,1,bigrammar-others
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
remaining,remainder,0,remain,remainder,0,VBG,NN,1,1,bigrammar-wform
details,detail,0,detail,detail,1,NNS,NN,1,1,bigrammar-others
?,to,0,?,to,0,?,TO,0,0,mogrammar-prep
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
employed,used,0,employ,use,0,VBN,VBN,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
histograms,histogram,0,histogram,histogram,1,NNS,NN,1,0,bigrammar-others
cluster,clustered,0,cluster,cluster,1,NN,VBN,1,1,bigrammar-vtense
includes,include,0,include,include,1,VBZ,VB,1,0,bigrammar-others
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
in,?,0,in,?,0,IN,?,0,0,mogrammar-prep
modelled,modeled,0,model,model,1,NN,VBN,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
is,was,0,be,be,1,VBZ,VBD,1,1,bigrammar-vtense
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
employ,using,0,employ,use,0,VB,VBG,1,0,paraphrase
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
create,created,0,create,create,1,VB,VBN,1,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
uses,use,0,use,use,1,NNS,NN,1,1,bigrammar-others
was,is,0,be,be,1,VBD,VBZ,1,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
individual,individuals,0,individual,individual,1,JJ,NNS,1,1,bigrammar-others
dataset,datasets,0,dataset,datasets,0,NN,NNS,1,1,bigrammar-others
evaluating,evaluate,0,evaluate,evaluate,1,VBG,VB,1,1,paraphrase
reasons,considerations,0,reason,consideration,0,NNS,NNS,0,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
appearance,appearances,0,appearance,appearance,1,NN,NNS,1,1,bigrammar-others
results,result,0,result,result,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
to,?,0,to,?,0,TO,?,0,0,unaligned
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
'can not',cannot,0,'can not',cannot,0,'MD PPR',NN,0,1,typo-spelling
performances,performance,0,performance,performance,1,NNS,NN,1,1,bigrammar-others
?,in,0,?,in,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
'can not',cannot,0,'can not',cannot,0,'MD PPR',NN,1,1,typo-spelling
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
'to determine','in determining',0,'to determine','in determine',0,'TO PPR','IN PPR',1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Firstly,First,0,Firstly,First,0,NNP,NNP,1,1,bigrammar-wform
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Secondly,Second,0,Secondly,Second,0,RB,NNP,1,1,bigrammar-wform
make,causes,0,make,cause,0,VB,NNS,1,1,paraphrase
character,characters,0,character,character,1,NN,NNS,1,1,bigrammar-others
loss,lost,0,loss,lose,0,NN,VBN,1,1,bigrammar-wform
'can not',cannot,0,'can not',cannot,0,'MD PPR',NN,0,1,typo-spelling
contain,containing,0,contain,contain,1,VB,VBG,1,1,bigrammar-wform
measures,measure,0,measure,measure,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
indicates,indicating,0,indicate,indicate,1,VBZ,VBG,1,1,bigrammar-wform
?,on,0,?,on,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,The,0,?,The,0,?,DET,0,0,mogrammar-det
faces,face,0,face,face,1,NNS,NN,1,1,bigrammar-others
'can not',cannot,0,'can not',cannot,0,'MD PPR',NN,0,1,typo-spelling
inside,within,0,inside,within,0,IN,IN,1,1,bigrammar-prep
case,cases,0,case,case,1,NN,NNS,1,1,bigrammar-others
prevent,prevents,0,prevent,prevent,1,VB,VBZ,1,1,bigrammar-others
are,is,0,be,be,1,VBP,VBZ,1,1,bigrammar-others
process,processes,0,process,process,1,NN,NNS,1,1,bigrammar-others
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
expensive,high,0,expensive,high,0,JJ,JJ,1,1,paraphrase
limits,limit,0,limit,limit,1,NNS,NN,1,1,bigrammar-others
motivate,motivates,0,motivate,motivate,1,VB,NNS,1,1,bigrammar-others
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
employ,use,0,employ,use,0,VB,NN,1,0,paraphrase
a,?,0,a,?,0,DET,?,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
