s_str,t_str,st_samestr,s_stem,t_stem,st_samestem,s_pos,t_pos,st_precede,st_follow,class
effects,effect,0,effect,effect,1,NNS,NN,1,1,bigrammar-others
performances,performance,0,performance,performance,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
examined,examine,0,examine,examine,1,VBN,VB,1,1,bigrammar-vtense
performances,performance,0,performance,performance,1,NNS,NN,1,1,bigrammar-others
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
for,of,0,for,of,0,IN,IN,1,1,bigrammar-prep
various,different,0,various,different,0,JJ,JJ,0,1,paraphrase
by,through,0,by,through,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,0,bigrammar-others
on,in,0,on,in,0,IN,IN,0,1,bigrammar-prep
domains,domain,0,domain,domain,1,NNS,NN,1,1,bigrammar-others
performances,performance,0,performance,performance,1,NNS,NN,1,0,bigrammar-others
decrease,decreases,0,decrease,decrease,1,NN,NNS,0,0,bigrammar-inter
Behind,Underlying,0,Behind,Underlying,0,IN,VBG,1,0,paraphrase
their,these,0,their,these,0,PRPS,DET,0,1,bigrammar-det
among,between,0,among,between,0,IN,IN,1,1,bigrammar-prep
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
which,that,0,which,that,0,WDT,IN,1,0,bigrammar-others
some,certain,0,some,certain,0,DET,JJ,1,1,paraphrase
orders,order,0,order,order,1,NNS,NN,1,1,bigrammar-others
change,changes,0,change,change,1,NN,NNS,1,1,bigrammar-inter
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
/,or,0,/,or,0,SYM,CC,1,1,bigrammar-others
Their,The,0,Their,The,0,PRPS,DET,1,1,bigrammar-det
was,is,0,be,be,1,VBD,VBZ,0,1,bigrammar-vtense
A,The,0,A,The,0,DET,DET,1,1,bigrammar-det
ways,manners,0,ways,manners,0,NNS,NNS,1,1,paraphrase
expressions,expression,0,expression,expression,1,NNS,NN,1,1,bigrammar-others
gained,received,0,gain,receive,0,VBN,VBN,1,1,paraphrase
The,This,0,The,This,0,DET,DET,1,1,bigrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
POSs,POS,0,POSs,POS,0,NNP,NNP,1,1,bigrammar-others
and,or,0,and,or,0,CC,CC,1,1,bigrammar-prep
In,For,0,In,For,0,IN,IN,1,1,bigrammar-prep
work,study,0,work,study,0,NN,NN,1,1,paraphrase
additionally,also,0,additionally,also,0,RB,RB,0,0,paraphrase
assume,assumed,0,assume,assume,1,VB,VBN,1,1,bigrammar-vtense
is,was,0,be,be,1,VBZ,VBD,1,1,bigrammar-vtense
use,used,0,use,use,1,NN,VBN,1,0,bigrammar-vtense
a,the,0,a,the,0,DET,DET,0,1,bigrammar-det
version,versions,0,version,version,1,NN,NNS,1,1,bigrammar-others
to,into,0,to,into,0,TO,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
the,a,0,the,a,0,DET,DET,1,1,bigrammar-det
it,this,0,it,this,0,PRP,DET,1,1,bigrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
While,Although,0,While,Although,0,IN,IN,1,1,paraphrase
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
Because,As,0,Because,As,0,IN,IN,1,1,paraphrase
that,?,0,that,?,0,IN,?,0,0,unaligned
it,?,0,it,?,0,PRP,?,0,0,unaligned
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
represents,denotes,0,represent,denote,0,VBZ,NNS,1,1,paraphrase
We,?,0,We,?,0,PRP,?,0,0,unaligned
they,these,0,they,these,0,PRP,DET,0,0,paraphrase
are,were,0,be,be,1,VBP,VBD,0,1,bigrammar-vtense
are,were,0,be,be,1,VBP,VBD,1,1,bigrammar-vtense
they,?,0,they,?,0,PRP,?,0,0,unaligned
have,?,0,have,?,0,VB,?,0,0,unaligned
forms,form,0,form,form,1,NNS,NN,1,0,bigrammar-others
when,as,0,when,as,0,WRB,IN,1,1,paraphrase
number,numbers,0,number,number,1,NN,NNS,1,1,bigrammar-others
is,are,0,be,be,1,VBZ,VBP,1,0,bigrammar-inter
shown,given,0,show,give,0,VBN,VBN,0,1,paraphrase
additionally,also,0,additionally,also,0,RB,RB,1,0,paraphrase
use,used,0,use,use,1,NN,VBN,0,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
on,for,0,on,for,0,IN,IN,1,1,bigrammar-prep
of,in,0,of,in,0,IN,IN,1,0,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
performances,performance,0,performance,performance,1,NNS,NN,0,1,bigrammar-others
for,with,0,for,with,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
effects,effect,0,effect,effect,1,NNS,NN,1,1,bigrammar-others
to,in,0,to,in,0,TO,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
made,created,0,make,create,0,VBN,VBN,1,1,paraphrase
sentences,?,0,sentence,?,0,NNS,?,0,0,unaligned
ten-folds,ten-fold,0,ten-folds,ten-fold,0,JJ,JJ,1,1,spelling
ten-folds,ten-fold,0,ten-folds,ten-fold,0,JJ,JJ,1,1,spelling
or,and,0,or,and,0,CC,CC,1,0,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
for,?,0,for,?,0,IN,?,0,0,mogrammar-prep
for,?,0,for,?,0,IN,?,0,0,mogrammar-prep
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
for,?,0,for,?,0,IN,?,0,0,mogrammar-prep
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
shows,gives,0,show,give,0,NNS,VBZ,1,1,paraphrase
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
while,but,0,while,but,0,IN,CC,1,0,paraphrase
also,?,0,also,?,0,RB,?,0,0,unaligned
changing,varying,0,change,vary,0,VBG,VBG,0,0,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
size,sizes,0,size,size,1,NN,NNS,0,1,bigrammar-others
corpus,data,0,corpus,datum,0,NNS,NNS,1,1,paraphrase
it,?,0,it,?,0,PRP,?,0,0,unaligned
would,does,0,would,do,0,MD,VBZ,0,1,paraphrase
seem,appear,0,seem,appear,0,VB,VB,1,1,paraphrase
only,?,0,only,?,0,RB,?,0,0,unaligned
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Especially,'In particular',0,Especially,'In particular',0,RB,'IN PPR',1,1,paraphrase
still,remain,0,still,remain,0,RB,VB,1,1,paraphrase
Table,Tables,0,Table,Tables,0,NNP,NNS,1,1,bigrammar-others
major,main,0,major,main,0,JJ,JJ,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
mis-tagging,mistagging,0,mis-tagging,mistagging,0,JJ,VBG,0,0,spelling
to,of,0,to,of,0,TO,IN,0,1,bigrammar-prep
such,these,0,such,these,0,JJ,DET,1,1,paraphrase
major,main,0,major,main,0,JJ,JJ,1,1,paraphrase
respectively,?,0,respectively,?,0,RB,?,0,0,unaligned
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Firstly,First,0,Firstly,First,0,NNP,NNP,1,1,paraphrase
begin,begins,0,begin,begin,1,VB,VBZ,1,1,bigrammar-inter
while,whereas,0,while,whereas,0,IN,IN,0,0,paraphrase
begin,begins,0,begin,begin,1,VB,VBZ,1,1,bigrammar-others
the,a,0,the,a,0,DET,DET,1,1,bigrammar-det
to,at,0,to,at,0,TO,IN,1,1,bigrammar-prep
Secondly,Second,0,Secondly,Second,0,RB,NNP,1,1,paraphrase
